model,benchmark,reference_observation_class,reference_method,comparison_observation_class,comparison_method,operator,estimand,metric,unit,favorable_direction,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,6006.025,4379.475,-1626.55,-1729.7925,-1506.845,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,5088.025,0.0,-5088.025,-5214.714375,-4971.9925,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,11094.05,4379.475,-6714.575,-6899.25875,-6522.396874999999,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,31570.175,20030.275,-11539.9,-12675.453125,-10326.888750000004,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0037734749999999997,0.0022499499999999997,-0.001523525,-0.0016251474999999995,-0.0014228493750000001,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0037734749999999997,0.0022499499999999997,-0.001523525,-0.00162528625,-0.0014267243749999997,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.825,0.7,-0.125,-0.225,-0.025,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
