model,benchmark,observation_class,method,operator,control_operator,estimand,metric,unit,favorable_direction,n_tasks,control_mean,operator_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.00363885,0.00381475,0.00017589999999999997,7.772437500000008e-05,0.0002774074999999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,none,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,success,proportion,higher,40,0.75,0.75,0.0,-0.1,0.1,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,task_tokens,tokens,lower,40,3882.625,4360.55,477.925,388.02437499999996,565.155,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,total_tokens,tokens,lower,40,3882.625,4360.55,477.925,386.498125,569.355625,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,latency_ms,milliseconds,lower,40,20037.65,19451.25,-586.4,-1880.4099999999994,769.9331249999989,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.0020806749999999997,0.0022190499999999998,0.000138375,6.7063125e-05,0.00020424374999999982,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0020806749999999997,0.0022190499999999998,0.000138375,7.4440625e-05,0.00020730874999999992,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,none,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,success,proportion,higher,40,0.75,0.75,0.0,-0.075,0.075,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,task_tokens,tokens,lower,40,3882.625,4193.125,310.5,204.53937500000006,411.56562499999995,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,total_tokens,tokens,lower,40,3882.625,4193.125,310.5,206.08312500000002,416.7143749999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,latency_ms,milliseconds,lower,40,20037.65,20261.35,223.7,-930.8393749999998,1364.0174999999995,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.0020806749999999997,0.0021874250000000002,0.00010674999999999999,1.7330000000000012e-05,0.00018867499999999996,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0020806749999999997,0.0021874250000000002,0.00010674999999999999,1.709750000000002e-05,0.00019005624999999992,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,none,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,success,proportion,higher,40,0.75,0.775,0.025,-0.075,0.15,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,task_tokens,tokens,lower,40,3826.45,4379.475,553.025,437.2425,678.8456249999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,total_tokens,tokens,lower,40,3826.45,4379.475,553.025,438.9287500000001,677.2106249999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,latency_ms,milliseconds,lower,40,19266.05,20030.275,764.225,-164.4418749999998,1750.9875,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.00205655,0.0022499499999999997,0.00019340000000000004,0.00010643187500000008,0.000296150625,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.00205655,0.0022499499999999997,0.00019340000000000004,0.00011489125000000003,0.00028635749999999995,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,none,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,success,proportion,higher,40,0.75,0.725,-0.025,-0.125,0.05,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
