model,benchmark,observation_class,method,operator,estimand,metric,unit,favorable_direction,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,task_tokens,tokens,lower,40,5330.125,5130.28875,5527.336875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,observer_tokens,tokens,lower,40,4486.425,4375.545625,4605.554375000001,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,total_tokens,tokens,lower,40,9816.55,9531.010624999999,10124.37,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,latency_ms,milliseconds,lower,40,33570.15,32054.08625,35329.84,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,actual_cost_usd,USD,lower,40,0.00381475,0.0036780650000000003,0.003973225624999999,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,estimated_cost_usd,USD,lower,40,0.00381475,0.0036774587500000002,0.0039676881249999995,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,public_state_reground,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.75,0.625,0.875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,4360.55,4166.171249999999,4548.80125,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,4360.55,4166.093125,4569.323125,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,19451.25,18159.10875,20920.17625,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0022190499999999998,0.0020698743749999996,0.0023804293749999997,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0022190499999999998,0.0020624206250000002,0.002376100625,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,lossy_compaction,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,success,proportion,higher,40,0.75,0.625,0.875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,task_tokens,tokens,lower,40,3882.625,3650.3375,4135.4575,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,total_tokens,tokens,lower,40,3882.625,3651.5399999999995,4141.3325,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,latency_ms,milliseconds,lower,40,20037.65,18720.213750000003,21481.529375,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.0020806749999999997,0.0019059587500000002,0.0022618006249999992,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0020806749999999997,0.001917413125,0.0022552575,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,none,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,success,proportion,higher,40,0.75,0.6,0.875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,task_tokens,tokens,lower,40,4193.125,3992.6718750000005,4419.156875000001,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,total_tokens,tokens,lower,40,4193.125,3979.36875,4424.541875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,latency_ms,milliseconds,lower,40,20261.35,19042.184375,21429.811875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,actual_cost_usd,USD,lower,40,0.0021874250000000002,0.002027124375,0.0023609181249999995,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0021874250000000002,0.00203054,0.002360460625,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,public_state_reground,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.775,0.65,0.9,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,4379.475,4174.733125000001,4582.1025,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,4379.475,4178.994375,4592.286875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,20030.275,18760.049375,21396.4575,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0022499499999999997,0.00209040875,0.0024171162500000003,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0022499499999999997,0.00209311625,0.0024199499999999997,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,success,proportion,higher,40,0.75,0.6,0.875,0.95,2000,12012,source_task
