analysis_role,paper_class,method,operator,metric,unit,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,threshold_firings,count,40,6.0,6.0,6.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,selected_actions,count,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,task_tokens,tokens,40,5374.625,5158.28625,5600.461875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,observer_tokens,tokens,40,4567.575,4437.34,4707.961875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,total_tokens,tokens,40,9942.2,9612.955,10292.150624999998,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,latency_ms,milliseconds,40,34150.475,32327.4875,35956.686250000006,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,actual_cost_usd,USD,40,0.0036657250000000003,0.0035327925,0.0037967825,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,firing_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,firing_rate,proportion_of_observed_checkpoints,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,threshold_firings,count,40,6.0,6.0,6.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,selected_actions,count,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,task_tokens,tokens,40,3870.45,3642.06875,4103.18375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,observer_tokens,tokens,40,3561.275,3408.099375,3734.0875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,total_tokens,tokens,40,7431.725,7068.19,7821.475625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,latency_ms,milliseconds,40,33957.525,32576.66,35432.99,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,actual_cost_usd,USD,40,0.003580825,0.0033954168749999996,0.003759230625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,firing_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,firing_rate,proportion_of_observed_checkpoints,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,threshold_firings,count,40,6.0,6.0,6.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,selected_actions,count,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,task_tokens,tokens,40,4304.6,4096.059375,4531.0756249999995,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,observer_tokens,tokens,40,3925.4,3799.645,4060.3849999999998,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,total_tokens,tokens,40,8230.0,7906.806875,8579.45625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,latency_ms,milliseconds,40,35228.275,33254.833125,37154.145625000005,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,actual_cost_usd,USD,40,0.00378895,0.003606660625,0.003984303749999999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,firing_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,firing_rate,proportion_of_observed_checkpoints,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
