reference_class,reference_method,comparison_class,comparison_method,operator,metric,unit,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,effect_definition,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
passive,frozen_probe:recompute,passive,trace_judge,public_state_reground,success,proportion_points,40,0.775,0.7,-0.075,-0.2,0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_judge,good_bad_watch_feedback,success,proportion_points,40,0.75,0.675,-0.075,-0.175,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_rules,none,success,proportion_points,40,0.725,0.75,0.025,-0.05,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_rules,lossy_compaction,success,proportion_points,40,0.8,0.775,-0.025,-0.075,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_rules,public_state_reground,success,proportion_points,40,0.775,0.725,-0.05,-0.15,0.05,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_rules,good_bad_watch_feedback,success,proportion_points,40,0.75,0.825,0.075,0.0,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,none,success,proportion_points,40,0.725,0.725,0.0,-0.1,0.1,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,success,proportion_points,40,0.8,0.05,-0.75,-0.875,-0.625,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,public_state_reground,success,proportion_points,40,0.775,0.75,-0.025,-0.125,0.05,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,good_bad_watch_feedback,success,proportion_points,40,0.75,0.775,0.025,0.0,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,none,success,proportion_points,40,0.725,0.725,0.0,-0.1,0.1,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,lossy_compaction,success,proportion_points,40,0.8,0.525,-0.275,-0.425,-0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,public_state_reground,success,proportion_points,40,0.775,0.7,-0.075,-0.175,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,good_bad_watch_feedback,success,proportion_points,40,0.75,0.725,-0.025,-0.1,0.05,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_judge,none,success,proportion_points,40,0.75,0.725,-0.025,-0.075,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_judge,lossy_compaction,success,proportion_points,40,0.45,0.7,0.25,0.05,0.45,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_judge,public_state_reground,success,proportion_points,40,0.675,0.7,0.025,-0.1,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_judge,good_bad_watch_feedback,success,proportion_points,40,0.75,0.675,-0.075,-0.175,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_rules,none,success,proportion_points,40,0.75,0.75,0.0,-0.075,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_rules,lossy_compaction,success,proportion_points,40,0.45,0.775,0.325,0.175,0.475,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_rules,public_state_reground,success,proportion_points,40,0.675,0.725,0.05,-0.05,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_rules,good_bad_watch_feedback,success,proportion_points,40,0.75,0.825,0.075,0.0,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,turn_clock,none,success,proportion_points,40,0.75,0.725,-0.025,-0.125,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,turn_clock,lossy_compaction,success,proportion_points,40,0.45,0.05,-0.4,-0.55,-0.25,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,turn_clock,public_state_reground,success,proportion_points,40,0.675,0.75,0.075,-0.05,0.2,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,turn_clock,good_bad_watch_feedback,success,proportion_points,40,0.75,0.775,0.025,0.0,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,context_use,none,success,proportion_points,40,0.75,0.725,-0.025,-0.125,0.05,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,context_use,lossy_compaction,success,proportion_points,40,0.45,0.525,0.075,-0.15,0.275,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,context_use,public_state_reground,success,proportion_points,40,0.675,0.7,0.025,-0.05,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,context_use,good_bad_watch_feedback,success,proportion_points,40,0.75,0.725,-0.025,-0.1,0.05,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,passive,trace_rules,none,success,proportion_points,40,0.725,0.75,0.025,-0.05,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,passive,trace_rules,lossy_compaction,success,proportion_points,40,0.7,0.775,0.075,-0.025,0.2,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,passive,trace_rules,public_state_reground,success,proportion_points,40,0.7,0.725,0.025,-0.1,0.175,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,passive,trace_rules,good_bad_watch_feedback,success,proportion_points,40,0.675,0.825,0.15,0.05,0.275,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,turn_clock,none,success,proportion_points,40,0.725,0.725,0.0,-0.1,0.1,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,turn_clock,lossy_compaction,success,proportion_points,40,0.7,0.05,-0.65,-0.8,-0.5,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,turn_clock,public_state_reground,success,proportion_points,40,0.7,0.75,0.05,-0.025,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,turn_clock,good_bad_watch_feedback,success,proportion_points,40,0.675,0.775,0.1,0.025,0.2,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,context_use,none,success,proportion_points,40,0.725,0.725,0.0,-0.075,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,context_use,lossy_compaction,success,proportion_points,40,0.7,0.525,-0.175,-0.35,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,context_use,public_state_reground,success,proportion_points,40,0.7,0.7,0.0,-0.075,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,context_use,good_bad_watch_feedback,success,proportion_points,40,0.675,0.725,0.05,-0.05,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,turn_clock,none,success,proportion_points,40,0.75,0.725,-0.025,-0.125,0.05,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,turn_clock,lossy_compaction,success,proportion_points,40,0.775,0.05,-0.725,-0.85,-0.5993750000000033,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,turn_clock,public_state_reground,success,proportion_points,40,0.725,0.75,0.025,-0.1,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,turn_clock,good_bad_watch_feedback,success,proportion_points,40,0.825,0.775,-0.05,-0.125,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,context_use,none,success,proportion_points,40,0.75,0.725,-0.025,-0.15,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,context_use,lossy_compaction,success,proportion_points,40,0.775,0.525,-0.25,-0.4,-0.1,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,context_use,public_state_reground,success,proportion_points,40,0.725,0.7,-0.025,-0.15,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,context_use,good_bad_watch_feedback,success,proportion_points,40,0.825,0.725,-0.1,-0.2,-0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,none,success,proportion_points,40,0.725,0.725,0.0,-0.125,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,lossy_compaction,success,proportion_points,40,0.05,0.525,0.475,0.32437500000000113,0.625,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,public_state_reground,success,proportion_points,40,0.75,0.7,-0.05,-0.175,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,good_bad_watch_feedback,success,proportion_points,40,0.775,0.725,-0.05,-0.125,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
